nombre,codigo,carrera,semestre,seccion,tipo
Química Inorgánica,QUI103,Ingeniería Química,2,C,Obligatorio
Termoquímica,QUI104,Ingeniería Química,2,D,Obligatorio
Físicoquímica,QUI105,Ingeniería Química,3,A,Obligatorio
Procesos Químicos,QUI106,Ingeniería Química,3,B,Obligatorio
Operaciones Unitarias,QUI107,Ingeniería Química,4,C,Obligatorio
Ingeniería de Reactores,QUI108,Ingeniería Química,4,D,Obligatorio
Ingeniería de Separaciones,QUI109,Ingeniería Química,5,A,Obligatorio
Diseño de Procesos,QUI110,Ingeniería Química,5,B,Obligatorio
Seguridad en Procesos Químicos,QUI111,Ingeniería Química,6,C,Electivo
Control de Procesos,QUI112,Ingeniería Química,6,D,Obligatorio
Tecnologías de Energía Química,QUI113,Ingeniería Química,7,A,Electivo
Innovación Química,QUI114,Ingeniería Química,7,B,Obligatorio
